SerialNumber,EventType,EventValue1,EventValue2,EventValue3,EventTime,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
SerialNr0,0,8,0,0,2018-03-07T12:17:08.177Z,2018-03-07T12:17:08.177Z,02018-03-07T12:17:08.177Z
SerialNr1,0,8,0,0,2018-03-07T12:17:08.188Z,2018-03-07T12:17:08.188Z,02018-03-07T12:17:08.188Z
SerialNr2,0,8,0,0,2018-03-07T12:17:08.192Z,2018-03-07T12:17:08.192Z,02018-03-07T12:17:08.192Z
SerialNr3,0,8,0,0,2018-03-07T12:17:08.197Z,2018-03-07T12:17:08.197Z,02018-03-07T12:17:08.197Z
SerialNr4,0,8,0,0,2018-03-07T12:17:08.202Z,2018-03-07T12:17:08.202Z,02018-03-07T12:17:08.202Z
SerialNr5,0,8,0,0,2018-03-07T12:17:08.208Z,2018-03-07T12:17:08.208Z,02018-03-07T12:17:08.208Z
SerialNr6,0,7,0,0,2018-03-07T12:17:08.214Z,2018-03-07T12:17:08.214Z,02018-03-07T12:17:08.214Z
SerialNr7,0,8,0,0,2018-03-07T12:17:08.219Z,2018-03-07T12:17:08.219Z,02018-03-07T12:17:08.219Z
SerialNr8,0,8,0,0,2018-03-07T12:17:08.224Z,2018-03-07T12:17:08.224Z,02018-03-07T12:17:08.224Z
SerialNr9,0,8,0,0,2018-03-07T12:17:08.232Z,2018-03-07T12:17:08.232Z,02018-03-07T12:17:08.232Z
SerialNr0,0,8,0,0,2018-03-07T12:17:09.238Z,2018-03-07T12:17:09.238Z,02018-03-07T12:17:09.238Z
SerialNr1,0,8,0,0,2018-03-07T12:17:09.269Z,2018-03-07T12:17:09.269Z,02018-03-07T12:17:09.269Z
SerialNr2,0,8,0,0,2018-03-07T12:17:09.284Z,2018-03-07T12:17:09.284Z,02018-03-07T12:17:09.284Z
SerialNr3,0,8,0,0,2018-03-07T12:17:09.291Z,2018-03-07T12:17:09.291Z,02018-03-07T12:17:09.291Z
SerialNr4,0,8,0,0,2018-03-07T12:17:09.298Z,2018-03-07T12:17:09.298Z,02018-03-07T12:17:09.298Z
SerialNr5,0,8,0,0,2018-03-07T12:17:09.303Z,2018-03-07T12:17:09.303Z,02018-03-07T12:17:09.303Z
SerialNr6,0,6,0,0,2018-03-07T12:17:09.308Z,2018-03-07T12:17:09.308Z,02018-03-07T12:17:09.308Z
SerialNr7,0,8,0,0,2018-03-07T12:17:09.313Z,2018-03-07T12:17:09.313Z,02018-03-07T12:17:09.313Z
SerialNr8,0,8,0,0,2018-03-07T12:17:09.317Z,2018-03-07T12:17:09.317Z,02018-03-07T12:17:09.317Z
