1,2017-10-30 11:48:58.706075,10,18,24
2,2017-10-30 11:48:58.715612,20,16,13
3,2017-10-30 11:48:58.717105,29,16,17
4,2017-10-30 11:48:58.717105,33,24,20
5,2017-10-30 11:48:58.717105,58,18,25
6,2017-10-30 11:48:58.717105,54,20,24
7,2017-10-30 11:48:58.717606,65,18,17
8,2017-10-30 11:48:58.717606,70,24,25
9,2017-10-30 11:48:58.717606,106,19,10
10,2017-10-30 11:48:58.717606,86,23,27
1,2017-10-30 11:49:03.718276,9,21,17
2,2017-10-30 11:49:03.718783,17,19,18
3,2017-10-30 11:49:03.719286,33,13,11
4,2017-10-30 11:49:03.719786,36,20,16
5,2017-10-30 11:49:03.720288,65,15,16
6,2017-10-30 11:49:03.720288,61,22,19
7,2017-10-30 11:49:03.720820,78,15,17
8,2017-10-30 11:49:03.721194,58,26,22
9,2017-10-30 11:49:03.721194,107,22,22
10,2017-10-30 11:49:03.721918,73,27,23
1,2017-10-30 11:49:08.722618,10,22,23
2,2017-10-30 11:49:08.724116,17,22,22
3,2017-10-30 11:49:08.725118,27,12,14
4,2017-10-30 11:49:08.725621,42,20,19
5,2017-10-30 11:49:08.725621,78,15,16
6,2017-10-30 11:49:08.725621,53,23,24
7,2017-10-30 11:49:08.725621,80,16,15
8,2017-10-30 11:49:08.726122,62,27,26
9,2017-10-30 11:49:08.726122,106,18,19
10,2017-10-30 11:49:08.726122,77,30,26
1,2017-10-30 11:49:13.726244,9,18,22
2,2017-10-30 11:49:13.726512,20,26,22
3,2017-10-30 11:49:13.728043,32,13,13
4,2017-10-30 11:49:13.728520,37,16,17
5,2017-10-30 11:49:13.731540,80,15,13
6,2017-10-30 11:49:13.732043,48,19,19
7,2017-10-30 11:49:13.732544,75,13,16
8,2017-10-30 11:49:13.733047,68,26,28
9,2017-10-30 11:49:13.733549,110,18,16
10,2017-10-30 11:49:13.734049,68,28,24
1,2017-10-30 11:49:18.734650,8,15,11
2,2017-10-30 11:49:18.735512,20,27,25
3,2017-10-30 11:49:18.738590,28,15,16
4,2017-10-30 11:49:18.742098,36,19,16
5,2017-10-30 11:49:18.744113,93,12,13
6,2017-10-30 11:49:18.746115,57,19,22
7,2017-10-30 11:49:18.750626,90,14,16
8,2017-10-30 11:49:18.753633,79,30,33
9,2017-10-30 11:49:18.755137,116,18,17
10,2017-10-30 11:49:18.757643,64,25,23
1,2017-10-30 11:49:23.760099,8,15,16
2,2017-10-30 11:49:23.760600,18,32,31
3,2017-10-30 11:49:23.761101,25,15,14
4,2017-10-30 11:49:23.763106,33,17,18
5,2017-10-30 11:49:23.766566,92,12,11
6,2017-10-30 11:49:23.768318,48,17,21
7,2017-10-30 11:49:23.768823,93,16,15
8,2017-10-30 11:49:23.769322,91,32,36
9,2017-10-30 11:49:23.769824,111,18,19
10,2017-10-30 11:49:23.771650,55,24,24
1,2017-10-30 11:49:28.772800,7,18,16
2,2017-10-30 11:49:28.773803,21,35,30
3,2017-10-30 11:49:28.775808,29,18,19
4,2017-10-30 11:49:28.777312,34,19,21
5,2017-10-30 11:49:28.779318,82,13,12
6,2017-10-30 11:49:28.779819,55,14,11
7,2017-10-30 11:49:28.780320,83,19,20
8,2017-10-30 11:49:28.780821,90,30,32
9,2017-10-30 11:49:28.781323,111,18,19
10,2017-10-30 11:49:28.782326,66,24,25
1,2017-10-30 11:49:33.783593,7,18,16
2,2017-10-30 11:49:33.784557,20,33,31
3,2017-10-30 11:49:33.788567,30,21,23
4,2017-10-30 11:49:33.793079,39,22,21
5,2017-10-30 11:49:33.796088,79,13,13
6,2017-10-30 11:49:33.797089,66,15,13
7,2017-10-30 11:49:33.798092,92,21,23
8,2017-10-30 11:49:33.801450,102,30,33
9,2017-10-30 11:49:33.801956,116,18,17
10,2017-10-30 11:49:33.802958,71,23,22
1,2017-10-30 11:49:38.804192,8,16,19
2,2017-10-30 11:49:38.804570,20,35,34
3,2017-10-30 11:49:38.809212,27,23,19
4,2017-10-30 11:49:38.810212,41,23,19
5,2017-10-30 11:49:38.811232,85,12,12
6,2017-10-30 11:49:38.812718,66,16,15
7,2017-10-30 11:49:38.813724,78,19,19
8,2017-10-30 11:49:38.816228,104,25,25
9,2017-10-30 11:49:38.819566,105,19,16
10,2017-10-30 11:49:38.820591,58,27,28
1,2017-10-30 11:49:43.821792,8,15,18
2,2017-10-30 11:49:43.822118,20,35,30
3,2017-10-30 11:49:43.823652,25,20,17
4,2017-10-30 11:49:43.824627,46,24,23
5,2017-10-30 11:49:43.827783,88,13,13
6,2017-10-30 11:49:43.828747,67,17,17
7,2017-10-30 11:49:43.829750,91,17,18
8,2017-10-30 11:49:43.830249,123,22,22
9,2017-10-30 11:49:43.831252,99,21,23
10,2017-10-30 11:49:43.832256,63,31,27
1,2017-10-30 11:49:48.834226,7,12,9
2,2017-10-30 11:49:48.835230,24,35,37
3,2017-10-30 11:49:48.838738,28,22,19
4,2017-10-30 11:49:48.841746,52,25,26
5,2017-10-30 11:49:48.843753,95,11,12
6,2017-10-30 11:49:48.846258,73,16,18
7,2017-10-30 11:49:48.850771,74,17,17
8,2017-10-30 11:49:48.853784,126,26,24
9,2017-10-30 11:49:48.857790,87,18,19
10,2017-10-30 11:49:48.860295,54,28,30
1,2017-10-30 11:49:53.862303,7,13,14
2,2017-10-30 11:49:53.863312,26,29,35
3,2017-10-30 11:49:53.866857,23,20,17
4,2017-10-30 11:49:53.869656,51,24,22
5,2017-10-30 11:49:53.871862,107,10,11
6,2017-10-30 11:49:53.874179,74,14,11
7,2017-10-30 11:49:53.877195,82,18,18
8,2017-10-30 11:49:53.880004,147,28,29
9,2017-10-30 11:49:53.881411,104,17,14
10,2017-10-30 11:49:53.882440,50,30,25
1,2017-10-30 11:49:58.883739,6,15,15
2,2017-10-30 11:49:58.884233,25,30,27
3,2017-10-30 11:49:58.887216,21,18,18
4,2017-10-30 11:49:58.890719,45,27,29
